SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F000010KNQ,2.69 Bil,0,0,63.51,35.8,0
F000010UCC,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCF,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCS,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCT,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCK,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCN,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCQ,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCI,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCJ,4.46 Bil,0,14.68,65.63,17.69,0
F000010UCU,4.46 Bil,0,14.68,65.63,17.69,0
F000010UD0,4.46 Bil,0,14.68,65.63,17.69,0
F0GBR04RS3,39.23 Bil,46.24,49.28,4.14,0,0
0P00000NA9,39.23 Bil,46.24,49.28,4.14,0,0
F0GBR04RS2,39.23 Bil,46.24,49.28,4.14,0,0
0P00000NA3,39.23 Bil,46.24,49.28,4.14,0,0
F00000OU8P,39.23 Bil,46.24,49.28,4.14,0,0
F0GBR04RS7,40.03 Bil,43.31,48.68,7.43,0,0
F0GBR04RS5,40.03 Bil,43.31,48.68,7.43,0,0
F00000OU8T,40.03 Bil,43.31,48.68,7.43,0,0
F0GBR0508Q,4.80 Bil,0,24.33,60.79,13.88,0
F00000PPN1,4.80 Bil,0,24.33,60.79,13.88,0
F0GBR06XFS,24.48 Bil,19.05,74.01,5.96,0,0
0P000015GT,24.48 Bil,19.05,74.01,5.96,0,0
F0GBR06XFQ,24.48 Bil,19.05,74.01,5.96,0,0
0P000015GS,24.48 Bil,19.05,74.01,5.96,0,0
F00000OXIF,24.48 Bil,19.05,74.01,5.96,0,0
0P00017IW6,24.48 Bil,19.05,74.01,5.96,0,0
0P00017IW8,24.48 Bil,19.05,74.01,5.96,0,0
F00000WALO,27.72 Bil,34.75,40.02,21.36,1.01,0
F00000WALM,27.72 Bil,34.75,40.02,21.36,1.01,0
F00000WALQ,,34.75,40.02,21.36,1.01,0
F00000VH4P,18.77 Bil,28.78,30.47,30.46,6.85,0
F00000VH4K,18.77 Bil,28.78,30.47,30.46,6.85,0
F00000YCGU,2.51 Bil,0,6.85,59.32,31.55,1.88
F00000YCGW,2.51 Bil,0,6.85,59.32,31.55,1.88
F00000YCGZ,2.51 Bil,0,6.85,59.32,31.55,1.88
F0GBR04AQH,22.53 Bil,28.81,36.64,26.94,5.33,1.39
F0GBR06D0F,22.53 Bil,28.81,36.64,26.94,5.33,1.39
F00000T90B,22.53 Bil,28.81,36.64,26.94,5.33,1.39
F00000W76V,4.58 Bil,0,27.66,52.78,12.96,5.53
F00000W76Y,4.58 Bil,0,27.66,52.78,12.96,5.53
F00000W76Z,4.58 Bil,0,27.66,52.78,12.96,5.53
F00000W770,4.58 Bil,0,27.66,52.78,12.96,5.53
F0GBR04AOD,41.39 Bil,45,39.32,8.88,2.17,0.71
F00000OMR0,41.39 Bil,45,39.32,8.88,2.17,0.71
F00000SIXB,41.39 Bil,45,39.32,8.88,2.17,0.71
F00000GZXH,43.59 Bil,44.62,43.67,4.24,4.16,1.72
F0GBR04AO3,43.59 Bil,44.62,43.67,4.24,4.16,1.72
F000002A2E,43.59 Bil,44.62,43.67,4.24,4.16,1.72
F00000460E,43.59 Bil,44.62,43.67,4.24,4.16,1.72
F00000SD9V,11.65 Bil,0.95,45.62,48.1,0,0
F00000LL8V,11.65 Bil,0.95,45.62,48.1,0,0
F0GBR04AOG,11.65 Bil,0.95,45.62,48.1,0,0
F00000VGVI,22.86 Bil,27.71,44.62,26.68,0,0
F00000Z2BK,22.86 Bil,27.71,44.62,26.68,0,0
F00000VA4Q,22.86 Bil,27.71,44.62,26.68,0,0
F00000W6X2,22.86 Bil,27.71,44.62,26.68,0,0
F00000LNV7,,36.83,52.33,9.6,0,0
F00000W5L2,34.28 Bil,36.83,52.33,9.6,0,0
F00000LNV8,34.28 Bil,36.83,52.33,9.6,0,0
F00000W5L4,34.28 Bil,36.83,52.33,9.6,0,0
F00000LMJC,34.28 Bil,36.83,52.33,9.6,0,0
F00000W5V3,34.28 Bil,36.83,52.33,9.6,0,0
F00000S97S,37.04 Bil,37,33.52,8.31,4.99,1.17
F00000OSEJ,37.04 Bil,37,33.52,8.31,4.99,1.17
F00000OEST,37.04 Bil,37,33.52,8.31,4.99,1.17
F00000PUHM,37.04 Bil,37,33.52,8.31,4.99,1.17
F00000OEPM,36.00 Bil,57.41,20.3,13.22,5.65,0
F00000W6KO,36.00 Bil,57.41,20.3,13.22,5.65,0
F00000LL8U,3.21 Bil,0,4.73,67.04,20.94,3.19
F0GBR055TK,3.21 Bil,0,4.73,67.04,20.94,3.19
F00000V3EE,3.21 Bil,0,4.73,67.04,20.94,3.19
F00000LJ0N,26.16 Bil,38.31,28.02,23.8,9.13,0
F00000WB73,26.16 Bil,38.31,28.02,23.8,9.13,0
F00000LJ0M,26.16 Bil,38.31,28.02,23.8,9.13,0
F00000WB74,26.16 Bil,38.31,28.02,23.8,9.13,0
F00000LNW5,33.81 Bil,41.13,44.41,14.25,1.39,0
F0GBR04HMG,33.81 Bil,41.13,44.41,14.25,1.39,0
F00000WHGI,33.81 Bil,41.13,44.41,14.25,1.39,0
F00000OWPE,14.47 Bil,17.76,33.16,39.42,3.41,0
