SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent
F00000YX3I,59,3,27,5.46,57.52,77.32
F00000MQF9,49,5,30,9.73,53.35,77.58
F00000MQFB,49,5,30,9.73,53.35,77.58
F0GBR04LW5,31,4,46,193.88,53.22,74.57
F00000PLJ2,31,4,46,193.88,53.22,74.57
F0GBR0552S,31,4,46,193.88,53.22,74.57
F00000QBNN,31,4,46,193.88,53.22,74.57
F0GBR04IEZ,48,3,31,53.32,67.45,78.95
FOGBR05JFO,48,3,31,53.32,67.45,78.95
F0GBR0552T,48,3,31,53.32,67.45,78.95
FOGBR05JFP,48,3,31,53.32,67.45,78.95
F00000PLJ5,48,3,31,53.32,67.45,78.95
F00000NN3L,43,9,42,"1,984.66",51.2,81.71
0P0000Y5T5,43,9,42,"1,984.66",51.2,81.71
F00000NN3Q,43,9,42,"1,984.66",51.2,81.71
0P0000YAHZ,43,9,42,"1,984.66",51.2,81.71
F00000YWBD,43,9,42,"1,984.66",51.2,81.71
F00000ZTBP,276,10,18,98,54.75,75.49
F0GBR06FY9,218,11,15,\u2014,55.69,76.38
F0GBR061CY,218,11,15,\u2014,55.69,76.38
F0GBR06FYF,218,11,15,\u2014,55.69,76.38
F0GBR06FYD,218,11,15,\u2014,55.69,76.38
F000011D5T,78,8,24,\u2014,59.79,83.23
F000011D60,78,8,24,\u2014,59.79,83.23
F000011D5X,78,8,24,\u2014,59.79,83.23
F000011D5W,78,8,24,\u2014,59.79,83.23
F000011D61,78,8,24,\u2014,59.79,83.23
F0GBR06FYH,218,11,15,\u2014,55.69,76.38
F0GBR06FYI,218,11,15,\u2014,55.69,76.38
F00000ZTBA,218,11,15,\u2014,55.69,76.38
F00000VRLZ,42,27,37,0.77,77.42,91.9
0P0001AB97,42,27,37,0.77,77.42,91.9
0P00015YTR,42,27,37,0.77,77.42,91.9
0P00015YTU,42,27,37,0.77,77.42,91.9
0P00015YTX,42,27,37,0.77,77.42,91.9
0P00015YTO,42,27,37,0.77,77.42,91.9
F00000VRM0,42,27,37,0.77,77.42,91.9
0P00015YTV,42,27,37,0.77,77.42,91.9
0P00015YTY,42,27,37,0.77,77.42,91.9
F00000OS8P,36,25,39,0.44,99.11,100
0P0000X09J,36,25,39,0.44,99.11,100
0P0000X09H,36,25,39,0.44,99.11,100
0P0000X09I,36,25,39,0.44,99.11,100
0P0000X09G,36,25,39,0.44,99.11,100
0P0000XAIM,36,25,39,0.44,99.11,100
F00000TG5Z,36,25,39,0.44,99.11,100
0P000133C4,36,25,39,0.44,99.11,100
0P000135VX,36,25,39,0.44,99.11,100
F0GBR04OZL,52,25,36,0.38,49.02,69.26
0P0000CNVX,52,25,36,0.38,49.02,69.26
0P0000GGNS,52,25,36,0.38,49.02,69.26
0P0000GGNQ,52,25,36,0.38,49.02,69.26
0P00008WHV,52,25,36,0.38,49.02,69.26
0P0000GGNR,52,25,36,0.38,49.02,69.26
F00000SD2S,52,25,36,0.38,49.02,69.26
0P00011NM6,52,25,36,0.38,49.02,69.26
0P00011NMA,52,25,36,0.38,49.02,69.26
F0000000L0,60,1,27,-13.41,52.05,75.79
F00000WB24,237,8,24,-1,46.49,67.52
F00000W9MQ,237,8,24,-1,46.49,67.52
F00000W9MT,433,12,18,-29,44.13,68.1
F000002KUO,140,6,28,131,49.75,70.62
F000011D64,78,8,24,\u2014,59.79,83.23
F00000XQF3,77,17,51,\u2014,76.27,98.92
F00000XQF7,77,17,51,\u2014,76.27,98.92
F00000XQFA,77,17,51,\u2014,76.27,98.92
F00000YUOJ,77,17,51,\u2014,76.27,98.92
F0000118J4,47,8,31,\u2014,46.18,69.04
F0000118J6,47,8,31,\u2014,46.18,69.04
F0000118JH,47,8,31,\u2014,46.18,69.04
F0000118JJ,47,8,31,\u2014,46.18,69.04
F0000118JD,47,8,31,\u2014,46.18,69.04
F0000118J8,47,8,31,\u2014,46.18,69.04
F0000118JA,47,8,31,\u2014,46.18,69.04
F0000118JM,47,8,31,\u2014,46.18,69.04
F0000118JU,47,8,31,\u2014,46.18,69.04
F0000118JS,47,8,31,\u2014,46.18,69.04
F0GBR04CZP,54,10,29,46.66,51.19,77.43
0P0000H8EG,54,10,29,46.66,51.19,77.43
F0000022T9,54,10,29,46.66,51.19,77.43
0P0000SC09,54,10,29,46.66,51.19,77.43
F0000009KK,88,10,22,8.31,57.85,82.07
0P0000SC0A,88,10,22,8.31,57.85,82.07
F000002NYU,88,10,22,8.31,57.85,82.07
0P0001FSSP,88,10,22,8.31,57.85,82.07
F000010KNQ,88,10,22,8.31,57.85,82.07
F000010UCC,95,8,22,\u2014,56.91,80.91
F000010UCF,95,8,22,\u2014,56.91,80.91
F000010UCS,95,8,22,\u2014,56.91,80.91
F000010UCT,95,8,22,\u2014,56.91,80.91
F000010UCK,95,8,22,\u2014,56.91,80.91
F000010UCN,95,8,22,\u2014,56.91,80.91
F000010UCQ,95,8,22,\u2014,56.91,80.91
F000010UCI,95,8,22,\u2014,56.91,80.91
F000010UCJ,95,8,22,\u2014,56.91,80.91
F000010UCU,95,8,22,\u2014,56.91,80.91
F000010UD0,95,8,22,\u2014,56.91,80.91
F0GBR04RS3,58,11,29,110,61.6,85.97
0P00000NA9,58,11,29,110,61.6,85.97
F0GBR04RS2,58,11,29,110,61.6,85.97
0P00000NA3,58,11,29,110,61.6,85.97
F00000OU8P,58,11,29,110,61.6,85.97
F0GBR04RS7,43,11,43,91,51.23,81.76
F0GBR04RS5,43,11,43,91,51.23,81.76
F00000OU8T,43,11,43,91,51.23,81.76
