,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000PKH5,24.84,3.49,2.34,13.48,1.26,10.2,-4.75,0.76,14.06,4.99,39,3,33,-56.93,,63.53,84.95,20.09 Bil,20.6,45.56,24.86,2.92,0.76,20.94,10.35,26.65,84.47,77.11,92.62,72.24,16.04,92.13,68.31,12.44,74.56,60.58,26.99,81.22,87.06,33.6,88.28,38.92,37.03,44.57
F0000000L0,12.46,1.12,0.73,6.2,2.24,15.85,-11.49,-4.81,-1.49,-2.81,60,1,27,-13.41,,52.05,75.79,14.52 Bil,24.6,34.6,20.69,12.61,3.35,87.66,77.55,93.03,45.14,17.21,58.76,37.26,17.59,93.98,76.26,30.63,78.34,27.47,16.67,39.96,22.42,14.42,68.07,34.44,19.51,38.22
F000005MUA,29.69,5.97,3.03,19.21,0.71,15.38,6.84,10.54,29.67,9.13,39,1,51,-13.65,,65.64,86.65,17.53 Bil,21.38,28.98,40.49,3.41,0.75,2.91,1,3.69,96.49,92.97,99.66,8.96,3.03,90.64,42.13,7.57,43.35,31.64,2.64,46.42,18.84,6.84,78.68,38.43,20.91,38.43
F000002RCJ,18.62,1.8,1.53,11.99,1.31,12.38,-9.25,-1.6,14.18,0.56,44,1,29,132,,54.78,75.89,12.13 Bil,11.04,38.79,45.56,0.8,0,30.62,21.33,47.05,85.48,49.87,88.93,32.26,8.43,84.09,41.2,10.01,73.97,43.32,14.4,64.36,34.05,26.03,81,31.48,18.19,32.8
F00000VV6S,19.8,1.37,0.67,6.38,2.7,10.11,-0.07,-21.94,13.76,-3.89,40,1,40,-27.64,,55.15,78.21,5.82 Bil,11.01,27.49,34.9,24.96,1.1,72.87,19.58,85.74,31.82,18.07,75.37,53.95,21.88,98.58,72.7,21.57,93.35,18.66,7.54,67.59,47.34,18.79,88.85,20.86,20.86,35.53
F00000V95O,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51,52,7,27,107.18,,53.7,72.95,5.90 Bil,0,8.51,89.48,0,0,19.12,19.12,45,93.57,60.81,94.91,20.44,13.54,87.87,32.05,30.24,66.49,31.54,19.6,50.48,30.3,24.61,81,18.29,18.29,24.88
F000001FSF,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51,52,7,27,107.18,,53.7,72.95,5.90 Bil,0,8.51,89.48,0,0,19.12,19.12,45,93.57,60.81,94.91,20.44,13.54,87.87,32.05,30.24,66.49,31.54,19.6,50.48,30.3,24.61,81,18.29,18.29,24.88
F000010DLP,16.6,2.25,1.11,8.84,2.21,11.01,4.99,0.52,27.83,3.93,396,2,,455.24,,49.21,72.55,7.10 Bil,11.55,20.16,50.39,16.58,1.21,31.05,23.63,65.7,67.6,47.57,86.85,11.48,2.09,26.96,14.65,10.15,45.98,43.3,13.07,56.17,46.65,24.31,84.47,20.66,14.61,22.56
F0GBR04I5K,16.6,2.25,1.11,8.84,2.21,11.01,4.99,0.52,27.83,3.93,396,2,,455.24,,49.21,72.55,7.10 Bil,11.55,20.16,50.39,16.58,1.21,31.05,23.63,65.7,67.6,47.57,86.85,11.48,2.09,26.96,14.65,10.15,45.98,43.3,13.07,56.17,46.65,24.31,84.47,20.66,14.61,22.56
F000000IK5,30.26,4.97,3.13,21.2,1.19,12.5,0.68,1.48,17.96,7.4,137,21,45,-102.72,,62.14,78.39,14.44 Bil,15.21,55.93,44.7,10.97,0,2.62,1,39.87,95.73,47,98.4,15.87,1,43.39,9.29,7,61.32,71.83,19.31,84.78,89.93,19.34,96.22,34.79,21.77,43.08
F000000NT5,15.97,1.44,1.05,10.83,1.33,9.19,-11.72,-10.34,14.61,2.83,52,12,,293.7,,80.19,95.15,2.40 Bil,0,4.47,48.11,42.86,3.2,66.93,31.14,90.17,79.58,19.63,93.16,11.55,2.98,96.31,89.99,20.18,89.99,15.8,5,35.8,94.01,18.53,95.38,10.4,9.56,27.07
FOGBR05TW2,12.74,1.78,0.95,11.09,1.07,10.8,-7.99,-6.83,22.55,4.21,28,1,50,172,93.72,62.45,88.49,3.59 Bil,10.47,20.44,27.47,20.55,18.01,71.29,32.86,83.4,85.96,54.08,86.44,15.62,15.33,94.9,65.59,43.51,93.99,17.93,4.16,47.22,71.09,21.09,92.35,14.47,14.21,31.85
