SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000JUGK,14.06,1.57,1.43,10.92,3.05,15.58,-8,-7.14,-4.37,-1.95
F0GBR04KNB,27.89,4.47,3.53,19.05,1.5,7.53,-2.77,3.29,13.11,8.63
F00000YIFK,27.89,4.47,3.53,19.05,1.5,7.53,-2.77,3.29,13.11,8.63
F00000QK99,27.89,4.47,3.53,19.05,1.5,7.53,-2.77,3.29,13.11,8.63
F00000YFOR,29.57,4.23,2.48,17.86,1.01,11.4,-0.17,3.83,24.56,12.57
F00000YFOV,29.57,4.23,2.48,17.86,1.01,11.4,-0.17,3.83,24.56,12.57
F00000OXUQ,29.16,4.28,2.65,17.56,1.17,12.03,-2.86,1.6,17.8,7.08
F00000YIFV,29.16,4.28,2.65,17.56,1.17,12.03,-2.86,1.6,17.8,7.08
F00000XCZ6,17.68,2,1.58,11.51,2.05,10.47,-5.37,-3.21,3.45,0.38
F0GBR04RTP,35.08,7.61,5.23,26.73,1.18,12.65,-0.34,4.28,6.9,9.77
F00000MJPO,35.08,7.61,5.23,26.73,1.18,12.65,-0.34,4.28,6.9,9.77
F00000WNYS,35.08,7.61,5.23,26.73,1.18,12.65,-0.34,4.28,6.9,9.77
F00000MEQ8,19.56,2.43,1.92,14.79,2.92,11.48,5.72,-0.41,7.07,3.18
F00000MEQK,19.56,2.43,1.92,14.79,2.92,11.48,5.72,-0.41,7.07,3.18
F00000WNYT,19.56,2.43,1.92,14.79,2.92,11.48,5.72,-0.41,7.07,3.18
F0GBR04K8B,27.37,3.88,3.37,19.83,0.7,13.77,-9.82,-3.41,8.8,3.75
F00000GWFO,27.37,3.88,3.37,19.83,0.7,13.77,-9.82,-3.41,8.8,3.75
F00000QQRN,27.37,3.88,3.37,19.83,0.7,13.77,-9.82,-3.41,8.8,3.75
F00000QQRM,27.37,3.88,3.37,19.83,0.7,13.77,-9.82,-3.41,8.8,3.75
F00000VQY5,27.37,3.88,3.37,19.83,0.7,13.77,-9.82,-3.41,8.8,3.75
F0GBR05Z1J,27.99,3.59,3.35,16.47,0.73,14.33,-11.21,-4.14,7.77,4.08
0P0000VV42,27.99,3.59,3.35,16.47,0.73,14.33,-11.21,-4.14,7.77,4.08
F000002K15,27.99,3.59,3.35,16.47,0.73,14.33,-11.21,-4.14,7.77,4.08
0P0001HDB3,27.99,3.59,3.35,16.47,0.73,14.33,-11.21,-4.14,7.77,4.08
F00000PLS1,27.99,3.59,3.35,16.47,0.73,14.33,-11.21,-4.14,7.77,4.08
F0GBR04ANX,25.29,3.07,3,21,1.08,12.7,-5.09,-2.54,3.25,6.22
0P0000VHKG,25.29,3.07,3,21,1.08,12.7,-5.09,-2.54,3.25,6.22
F000000ECE,25.29,3.07,3,21,1.08,12.7,-5.09,-2.54,3.25,6.22
0P0000X6Y2,25.29,3.07,3,21,1.08,12.7,-5.09,-2.54,3.25,6.22
F0000020RR,25.29,3.07,3,21,1.08,12.7,-5.09,-2.54,3.25,6.22
F00000LLTT,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
0P0001IY5M,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
F00000LX1G,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
0P0001HDB4,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
F00000VQ88,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
0P0001IY5K,17.97,2.18,1.63,14.8,2.88,8.96,3.65,-0.72,5.63,2.84
F0GBR068QC,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
0P0000VHKJ,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
F0000020UI,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
0P0000X6Y3,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
F00000M85C,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
0P0000VHKL,33.38,5.63,5.05,25.05,1.13,14.66,-0.06,3.78,5.69,8.63
F0GBR04APF,33.4,5.64,5.04,25.05,1.13,14.7,-0.09,3.78,5.76,8.6
0P0000W7OO,33.4,5.64,5.04,25.05,1.13,14.7,-0.09,3.78,5.76,8.6
F000000ECF,33.4,5.64,5.04,25.05,1.13,14.7,-0.09,3.78,5.76,8.6
0P0000VHKN,33.4,5.64,5.04,25.05,1.13,14.7,-0.09,3.78,5.76,8.6
F00000LI6K,18.53,2.04,1.56,11.94,1.85,11.44,-6.61,-1.55,0.8,2.93
F00000V95O,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51
F000001FSF,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51
F000001FSG,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51
F000001FSH,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51
F0000020RZ,33.4,5.64,5.04,25.05,1.13,14.7,-0.09,3.78,5.76,8.6
F0GBR04F7W,33.31,5.37,5.06,26.09,1.09,13.8,-1.91,3.97,7.85,9.71
0P0000VHKP,33.31,5.37,5.06,26.09,1.09,13.8,-1.91,3.97,7.85,9.71
F000000ECJ,33.31,5.37,5.06,26.09,1.09,13.8,-1.91,3.97,7.85,9.71
0P0000X6Y4,33.31,5.37,5.06,26.09,1.09,13.8,-1.91,3.97,7.85,9.71
F00000ZSGN,22.41,2.48,1.66,15.5,0.95,11.88,-10.14,-7.32,28.77,5.51
F0GBR04B7V,16.7,1.7,1.21,10.46,1.21,17.63,-10.81,-3.15,8.77,6.14
F0GBR04B84,16.7,1.7,1.21,10.46,1.21,17.63,-10.81,-3.15,8.77,6.14
F000002JGN,17.27,2.07,1.71,10.45,2.09,10.25,-1.46,-4.74,0.92,2.63
