SecId,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension
F00000PXFX,BNP Paribas Emerging Eq I C,2,4,Global Emerging Markets Equity,0,3.3,1.52,-8.25,-8.71,-4.67,-2.18,4.89,6.65,0,1.11,0.18,4.58,384274003.9,2,31368.01375,4,-4.4,0.98,84.66,16.52,0.22,3,3,3,TRUE
0P00011NAP,BNP Paribas Emerging Eq I C EUR,2,4,Global Emerging Markets Equity,0,2.31,1.64,-5.63,-7.21,-1.71,-2.4,4.2,5.36,0,1.11,0.18,4.58,384274003.9,2,31368.01375,4,-4.4,0.98,84.66,16.52,0.22,3,3,3,FALSE
F00000PXFY,BNP Paribas Emerging Eq N C,1,4,Global Emerging Markets Equity,0,3.26,1.36,-8.68,-9.57,-5.86,-3.99,2.95,4.69,0,2.97,0.18,4.58,384274003.9,2,31368.01375,3,-6.26,0.98,84.66,16.5,0.11,3,3,3,TRUE
0P000195EU,BNP Paribas Emerging Eq N C EUR,1,4,Global Emerging Markets Equity,0,2.28,1.48,-6.07,-8.08,-2.94,-4.21,2.27,,0,2.97,0.18,4.58,384274003.9,2,31368.01375,3,-6.26,0.98,84.66,16.5,0.11,3,3,3,FALSE
F00000PXIH,BNP Paribas India Eq Cl Cap,2,3,India Equity,0,4.91,7.15,9.46,14.07,19.65,37.67,9.94,7.83,3,2.22,0.54,8.33,208672306.6,3,19448.86581,2,-2.38,0.9,97.18,21.2,0.44,3,3,3,TRUE
0P0000YWFE,BNP Paribas India Eq Cl Cap NOK,2,3,India Equity,0,2.79,5.24,13.84,15.99,20.78,34.83,11.16,8.63,3,2.22,0.54,8.33,208672306.6,3,19448.86581,2,-2.38,0.9,97.18,21.2,0.44,3,3,3,TRUE
0P0000YWFF,BNP Paribas India Eq Cl Cap SEK,2,3,India Equity,0,3.17,7.18,13.49,16.38,24.92,35.48,7.64,7.81,3,2.22,0.54,8.33,208672306.6,3,19448.86581,2,-2.38,0.9,97.18,21.21,0.44,3,3,3,TRUE
F00000PXIJ,BNP Paribas India Eq I Cap,3,3,India Equity,0,4.93,7.25,9.76,14.71,20.56,39.22,11.18,9.04,0,1.11,0.54,8.33,208672306.6,3,19448.86581,2,-1.26,0.9,97.18,21.21,0.49,3,3,3,TRUE
0P00019WV1,BNP Paribas India Eq I Cap EUR,3,3,India Equity,0,3.94,7.38,12.9,16.59,24.29,38.9,10.45,7.71,0,1.11,0.54,8.33,208672306.6,3,19448.86581,2,-1.26,0.9,97.18,21.21,0.49,3,3,3,FALSE
F00000PXIL,BNP Paribas India Eq Priv Cap,3,3,India Equity,0,4.93,7.24,9.73,14.64,20.46,39.04,11.05,8.87,3,1.22,0.54,8.33,208672306.6,3,19448.86581,2,-1.38,0.9,97.18,21.21,0.48,3,3,3,TRUE
