SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F00000VIF4,11.73 Bil,23.57,25.77,33.50,9.95,2.62
F00000VIF6,11.73 Bil,23.57,25.77,33.50,9.95,2.62
F00000TGIQ,7.04 Bil,12.37,24.98,43.58,12.73,2.53
F00000O5G5,7.04 Bil,12.37,24.98,43.58,12.73,2.53
F000000KX0,32.64 Bil,46.66,31.86,19.15,0.66,0.00
F000000KX4,32.64 Bil,46.66,31.86,19.15,0.66,0.00
F00000TGGO,45.50 Bil,46.79,31.69,17.72,1.50,0.81
F00000TGFI,45.50 Bil,46.79,31.69,17.72,1.50,0.81
F00000TGGQ,45.50 Bil,46.79,31.69,17.72,1.50,0.81
F0000106V1,19.80 Bil,27.44,31.10,35.86,0.00,0.00
F0000106UZ,19.80 Bil,27.44,31.10,35.86,0.00,0.00
FOGBR05U53,10.36 Bil,20.21,22.82,31.57,12.24,2.58
F000010NXG,11.45 Bil,24.51,31.88,23.27,16.89,0.00
F000010NXJ,11.45 Bil,24.51,31.88,23.27,16.89,0.00
F0GBR050J6,21.28 Bil,36.09,34.66,22.18,5.25,0.01
F00000WQ4J,17.42 Bil,25.16,30.58,33.12,6.07,0.00
F00000UDZA,27.67 Bil,37.14,38.56,20.66,1.95,0.12
F0GBR06FY4,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F0GBR06FY6,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F00000ZTBI,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F00000SJ22,4.49 Bil,14.79,12.78,29.35,31.18,6.48
F00000SD92,4.49 Bil,14.79,12.78,29.35,31.18,6.48
F0GBR06LU1,16.14 Bil,35.16,23.95,26.86,12.83,0.36
F0000003AN,19.97 Bil,32.44,30.53,25.89,5.20,0.72
F00000W9ND,37.20 Bil,44.54,32.76,15.43,0.00,0.00
F000010NXD,17.73 Bil,24.32,35.57,32.95,3.03,0.00
FOGBR05TW2,3.59 Bil,10.47,20.44,27.47,20.55,18.01
FOGBR05TW3,3.59 Bil,10.47,20.44,27.47,20.55,18.01
F0GBR06HSH,2.67 Bil,0.00,15.45,53.08,18.85,9.30
F0GBR04SKO,2.67 Bil,0.00,15.45,53.08,18.85,9.30
F0GBR04GK3,2.96 Bil,2.68,30.09,19.81,19.26,19.11
F0GBR06FNX,2.96 Bil,2.68,30.09,19.81,19.26,19.11
F0GBR06KRI,,24.50,16.38,44.08,11.32,3.06
F00000OY37,1.13 Bil,0.00,0.00,45.13,34.76,13.29
F00000V5H9,1.13 Bil,0.00,0.00,45.13,34.76,13.29
F00000ZDVB,21.57 Bil,41.50,14.30,37.49,6.07,0.00
F00000ZDVD,21.57 Bil,41.50,14.30,37.49,6.07,0.00
F00000Y4BM,4.90 Bil,11.45,18.27,22.93,44.46,0.00
F00000Y4BO,4.90 Bil,11.45,18.27,22.93,44.46,0.00
F00000Y4BQ,4.90 Bil,11.45,18.27,22.93,44.46,0.00
F0GBR06J42,1.14 Bil,2.27,5.34,22.47,45.05,24.87
F00000VKHB,2.86 Bil,11.08,12.95,33.71,22.45,19.80
F0GBR06L03,71.00 Bil,56.58,26.42,12.14,0.91,0.03
F00000NF4R,16.84 Bil,25.84,29.49,41.49,2.35,0.00
F00000NF4S,16.84 Bil,25.84,29.49,41.49,2.35,0.00
F00000OXO9,16.84 Bil,25.84,29.49,41.49,2.35,0.00
F00000XSAU,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000XSB4,9.22 Bil,16.86,17.52,46.98,11.62,0.73
F00000XSB2,9.22 Bil,16.86,17.52,46.98,11.62,0.73
