SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000WY1R,17.43,2.57,1.7,14.49,1.6,8.78,-9.68,-5.52,3.8,2.64
F00001024G,16.1,2.39,1.72,12.24,2.01,6.8,-3.52,-7.46,8.74,3.45
F00001024F,16.1,2.39,1.72,12.24,2.01,6.8,-3.52,-7.46,8.74,3.45
F00000ZMH5,19.45,2.79,2.17,13.67,1.53,9.25,-1.88,-5.28,9.1,4.81
F00000ZMH6,19.45,2.79,2.17,13.67,1.53,9.25,-1.88,-5.28,9.1,4.81
F0GBR06P37,21.25,3.17,2.73,19.56,1.14,12.67,-3.32,2.98,34.13,3.9
F0000108JY,21.25,3.17,2.73,19.56,1.14,12.67,-3.32,2.98,34.13,3.9
F00000ZFZT,21.38,3.44,3.44,18.99,1.06,11.02,-9.35,-5.49,7.3,4.14
F00000ZFZU,21.38,3.44,3.44,18.99,1.06,11.02,-9.35,-5.49,7.3,4.14
F000002X67,14,1.66,1.1,9.4,1.94,11.56,-7.34,-6.76,8.08,-2.49
F00000VHJH,14,1.66,1.1,9.4,1.94,11.56,-7.34,-6.76,8.08,-2.49
F00000O0OS,14,1.66,1.1,9.4,1.94,11.56,-7.34,-6.76,8.08,-2.49
F0GBR06XPT,12,1.37,1.04,7.87,2.74,9.81,-14.49,-6.82,5.05,-2.01
F00000O0O2,12,1.37,1.04,7.87,2.74,9.81,-14.49,-6.82,5.05,-2.01
F00000YQD3,15.69,1.87,1.59,10.49,2.31,11.55,-7.49,-6.19,1.26,-1.1
F00000YQCN,14.17,1.75,1.49,9.78,2.52,11.65,-8.02,-8.19,-0.03,-2.61
F0000103C7,14.17,1.75,1.49,9.78,2.52,11.65,-8.02,-8.19,-0.03,-2.61
F0000103C8,14.17,1.75,1.49,9.78,2.52,11.65,-8.02,-8.19,-0.03,-2.61
F0000103C9,14.17,1.75,1.49,9.78,2.52,11.65,-8.02,-8.19,-0.03,-2.61
F000014I6G,14.96,2.03,1.66,12.48,2.38,13.32,-9.01,-7.67,-7.39,-3.62
F000014I6I,14.46,1.97,1.66,12.2,2.57,11.87,-12.1,-7.27,-5.49,-1.51
F000014I6M,14.17,1.75,1.49,9.78,2.52,11.65,-8.19,-8.19,-0.08,-2.59
F0GBR04APW,19.85,3.74,3.8,15,1.41,16.91,-1.29,-4.99,3.08,-0.96
F00000PJ00,12.59,1.43,1.1,8.08,2.94,16.93,-11.77,-6.53,4.19,-2.62
