SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F0GBR04S4U,Vistry Group PLC,2.95,Watches of Switzerland Group PLC,2.91,Ergomed PLC,2.9,Future PLC,2.85,Dunelm Group PLC,2.84,CMC Markets PLC,2.64,Halfords Group PLC,2.48,Team17 Group PLC,2.22,,,,
F00000OZX9,Vistry Group PLC,2.95,Watches of Switzerland Group PLC,2.91,Ergomed PLC,2.9,Future PLC,2.85,Dunelm Group PLC,2.84,CMC Markets PLC,2.64,Halfords Group PLC,2.48,Team17 Group PLC,2.22,,,,
F00000OYE4,Vistry Group PLC,2.95,Watches of Switzerland Group PLC,2.91,Ergomed PLC,2.9,Future PLC,2.85,Dunelm Group PLC,2.84,CMC Markets PLC,2.64,Halfords Group PLC,2.48,Team17 Group PLC,2.22,,,,
F00000OOAW,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.07,ITV PLC,1.02,Royal Mail PLC,1.02,Howden Joinery Group PLC,1.01,G4S PLC,0.93,,,,,,
F0GBR04CPY,Weir Group PLC,1.28,Direct Line Insurance Group PLC,1.09,Electrocomponents PLC,1.07,ITV PLC,1.02,Royal Mail PLC,1.02,Howden Joinery Group PLC,1.01,G4S PLC,0.93,,,,,,
F00000OOAU,Unilever PLC,4.3,AstraZeneca PLC,4.11,HSBC Holdings PLC,3.91,Rio Tinto PLC,3.03,Diageo PLC,2.92,GlaxoSmithKline PLC,2.65,Royal Dutch Shell PLC Class A,2.65,BP PLC,2.59,British American Tobacco PLC,2.55,,
F0GBR04CPQ,Unilever PLC,4.3,AstraZeneca PLC,4.11,HSBC Holdings PLC,3.91,Rio Tinto PLC,3.03,Diageo PLC,2.92,GlaxoSmithKline PLC,2.65,Royal Dutch Shell PLC Class A,2.65,BP PLC,2.59,British American Tobacco PLC,2.55,,
F00000OWP8,Royal Dutch Shell PLC Class A,5.88,BHP Group PLC,5.72,GlaxoSmithKline PLC,4.86,BP PLC,4.78,Prudential PLC,4.24,Barclays PLC,4.04,HSBC Holdings PLC,3.79,Unilever PLC,3.78,,,,
F0GBR04CO3,Royal Dutch Shell PLC Class A,5.88,BHP Group PLC,5.72,GlaxoSmithKline PLC,4.86,BP PLC,4.78,Prudential PLC,4.24,Barclays PLC,4.04,HSBC Holdings PLC,3.79,Unilever PLC,3.78,,,,
F00000OWPC,Royal Dutch Shell PLC Class A,5.45,BHP Group PLC,5.27,BP PLC,4.54,Prudential PLC,4.41,GlaxoSmithKline PLC,4.23,Barclays PLC,3.99,Unilever PLC,3.75,Diageo PLC,3.26,,,,
